trade_centre;Trade Centre;;;;;;;;x
potential_trade_post;Potential Trade Post;;;;;;;;x
EVTDESC69420;You dumb fucking cretin, you fucking fool, absolute fucking buffoon, you bumbling idiot. Fuck you.;;;;;;;;x
merchant_republic;Merchant Republic;;;;;;;;x
trade_monarchy;Mercantile Monarchy;;;;;;;;x
rick_rolled;Rickrolled;;;;;;;;x
taoist;Taoist;;;;;;;;x
zoroastrian;Zoroastrian;;;;;;;;x
tengri;Tengri;;;;;;;;x
taoist_country;Taoism;;;;;;;;x
conquer_trade_post;Conquer Trade Outpost;;;;;;;;x
obtain_potential_trade_post;Obtain Potential Trade Post;;;;;;;;x
khanate;Khanate;;;;;;;;x
come_to_brazil;Come to Brazil!;;;;;;;;x
come_to_brz;Coming to Brazil;;;;;;;;x
come_to_brazil_NEWS_LONG;If you ever feel sad, alone and just completely unwanted, just remember that Brazil wants you to visit.;;;;;;;;x
come_to_brazil_NEWS_MEDIUM;You either come to Brazil or Brazil will come for you.;;;;;;;;x
come_to_brazil_NEWS_SHORT;Might as well consider coming to Brazil.;;;;;;;;x
