;;;;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC100000;Mandate of Heaven. The concept present in China throughout millennia. It is said that if the heavens anger fall on China, manifested by disasters and decadence, it is the right of the people to depose the "Son of Heaven", and bring back the balance. And even though China is under the rule of foreign dynasty this principle still holds true.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100001;The people see our rule as succesfull and prosperous, thus they consider that our Mandate of Heaven is high.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100002;Our popularity among the people isn't great but it also isn't terible, we can assume that our Mandate of Heaven is average.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100003;The rule of our celestial emperor is now seen as a disaster after a disaster, our Mandate of Heaven is low.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100004;Peoples anger is growing, we can only hope that this won't diminish our Mandate too much...;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100005;When people's stomachs are full they are happy, and when they are happy they are easier to rule, thus our Mandate may only grow!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100006;Floods aren't uncommon in China but this one... is something else... People depend on the government and it's bureaucracy to maintain irrigation and control the rivers, maybe we have neglected it or maybe...;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100007;China art of rule has always been unique, it's administration was often meritocratic and based on state exams, and even though it was, also, often corrupt due to insufficient founding, this time it is different, people are praising our dynasty for fair and just rule!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100008;The worst has come! The heavens have truly abandoned us and whole China has risen in revolt about Manchu yoke, both native Chinese aristocracy and peasant leaders have declared rebellion on us, styling themselves as "Blue Turbans" in memory of their both yellow and red predecessors. Our enemies are numerous and among them are heirs to the Ming throne and descendants of famous Confucius.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100009;We have accomplished total victory over Manchu, let's hope that China may now rest in peace, free from foreign opression...;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100012;We may have hoped for peace but it seems that our desired bliss is away from us, now that the Qing dynasty fell there is now unifing force between the Blue Turbans. The strife for spoils of war has begun...;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100010;The rebels have been crushed mercilessly and now none can oppose the "Son of Heaven"! It is only a metter of time until all of China is brought back under our administration...;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100013;How could we have lost...;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC100013;The rebelion have ravaged the chinese countryside but besides that, besides the countless life lost, no side was able to achive total victory... Will China stay fragmented, will the "Rebels" jump into each others throats, will they unite once again against the barbaric dynasty.... Only time will tell..;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mandate_of_heaven_change;Recent change in Mandate of Heaven;;;;;;;;;;;;;,,,,,,,,,,,,
mandate_of_heaven_1;High Mandate of Heaven;;;;;;;;;;;;;,,,,,,,,,,,,
mandate_of_heaven_2;Average Mandate of Heaven;;;;;;;;;;;;;,,,,,,,,,,,,
mandate_of_heaven_3;Low Mandate of Heaven;;;;;;;;;;;;;,,,,,,,,,,,,
mandate_of_heaven_natural_disaster;Natural Disaster in China;;;;;;;;;;;;;,,,,,,,,,,,,
